Название,ID,Тип_алкоголя,Категория,Изображение,Бокал,Ингредиент1,Ингредиент2,Ингредиент3,Ингредиент4,Ингредиент5,Инструкция,Мера1,Мера2
Hawaiian Cocktail,11472,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/ujoh9x1504882987.jpg,Коктейльный бокал,Gin,Triple sec,Pineapple juice,0,0,"Встряхните все ингредиенты со льдом, напрягайтесь в коктейльный стакан и подайте.",2 унция ,1/2 унция 
Hemingway Special,17201,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/jfcvps1504369888.jpg,Коктейльный бокал,Rum,Grapefruit Juice,Maraschino Liqueur,Lime Juice,0,Вылейте все ингредиенты в шейкер со льдом. Встряхнуть,12 parts,8 parts
Herbal flame,15813,Алкогольный,Кофе/Чай,http://www.thecocktaildb.com/images/media/drink/rrstxv1441246184.jpg,Мейсон джар,Hot Damn,Tea,0,0,0,"Вылейте горячую чертовски 100 в дно банки или обычного стакана. Наполните остальную часть стакана сладким чаем. Перемешайте с ложкой, соломой или еще лучше с корицей и оставьте ее.",5 shots ,very sweet 
Highland Fling Cocktail,11476,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/0bkwca1492975553.jpg,Коктейльный бокал,Scotch,Sweet Vermouth,Orange bitters,Olive,0,Размешайте все ингредиенты (кроме оливы) со льдом и напрягайтесь в коктейль -стакане. Добавьте оливу и подайте.,1 1/2 унция ,3/4 унция 
Holloween Punch,12954,Безалкогольный,Пунш,http://www.thecocktaildb.com/images/media/drink/lfeoe41504888925.jpg,Пунш-боул,Grape juice,Carbonated soft drink,Sherbet,Sherbet,0,"Возьмите кучу виноградного сока и кучу шипучих вещей (клубная газировка, имбирный эль, лимонлим, что угодно). Смешайте их в чаше. Возьмите апельсиновый шербет и лайм -шербет. Выкопайте сочки и плавайте в удар, пусть они немного тают, чтобы неприятный фильм распространился по всему удару, но в нем все еще есть «пузырьки» в виде шербетов. Выглядит ужасно, на вкус просто отлично.","
",", orange
"
Homemade Kahlua,17044,Алкогольный,Домашний ликер,http://www.thecocktaildb.com/images/media/drink/uwtsst1441254025.jpg,Collins Glass,Sugar,Corn syrup,Coffee,Vanilla extract,Water,"Растворите сахар в 2 стакана кипящей воды и добавьте кукурузный сироп. Растворите мгновенный кофе в оставшейся воде. Вылейте сироп и кофе в галлонский кувшин. Пусть это остынет. Добавьте водку и ванили, когда холодно. Для наилучшего результата пусть смесь «созревает» в течение 4-5 недель.",2 1/2 cups ,1 чашка 
Horse's Neck,17202,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/006k4e1504370092.jpg,Хайбол,Lemon peel,Brandy,Ginger ale,Bitters,0,Вылейте бренди и имбирный эль прямо в бокал с высоким мячом с кубиками льда. Нежно перемешать. Украсить лимонной цедрой. При желании добавьте черты ангостуры горькой.,1 long strip ,2 унция 
Hot Chocolate to Die for,12738,Безалкогольный,Какао,http://www.thecocktaildb.com/images/media/drink/0lrmjp1487603166.jpg,Кофейная кружка,Chocolate,Butter,Vanilla extract,Half-and-half,Marshmallows,"Растопить шоколад, масло и ваниль в двойном котле. Когда просто гладко перемешайте крем.",12 унция fine ,1 чайная ложка 
Hot Creamy Bush,14782,Алкогольный,Кофе/Чай,http://www.thecocktaildb.com/images/media/drink/spvrtp1472668037.jpg,Кружка для айриш кофе,Irish whiskey,Bailey's irish cream,Coffee,0,0,Объединить все ингредиенты в стекле,1 шот ,3/4 шот 
Ice Pick #1,13539,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/ypsrqp1469091726.jpg,Collins Glass,Vodka,Iced tea,Lemon juice,0,0,Поместите водку в стеклянную наполнение чаем со льдом. Добавьте лимон по вкусу.,1 1/2 унция ,6 унция 
Iced Coffee,12770,Безалкогольный,Кофе/Чай,http://www.thecocktaildb.com/images/media/drink/ytprxy1454513855.jpg,Кофейная кружка,Coffee,Sugar,Water,Milk,0,"Смешайте, пока кофе и сахар не растворяются. Добавить молоко. Встряхнуть хорошо. Использование блендера или производителя молока производит очень пенистый напиток. Подавать в кофейной кружке.",1/4 чашка instant ,1/4 чашка 
Iced Coffee Fillip,12772,Алкогольный,Кофе/Чай,http://www.thecocktaildb.com/images/media/drink/sxtxrp1454514223.jpg,Кофейная кружка,Kahlua,Coffee,0,0,0,Перед подачей смешайте в кофейной кружке и расслабьтесь.,2 чайная ложка ,Strong cold 
Imperial Cocktail,12706,Алкогольный,Коктейль,http://www.thecocktaildb.com/images/media/drink/bcsj2e1487603625.jpg,Коктейльный бокал,Lime juice,Gin,Aperol,0,0,Встряхните со льдом и напрягайтесь в коктейль.,4 сантилитр ,2 сантилитр 
Imperial Fizz,11524,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/zj1usl1504884548.jpg,Хайбол,Light rum,Blended whiskey,Lemon,Powdered sugar,Carbonated water,"Встряхните все ингредиенты (кроме газированной воды) со льдом и напрягайтесь в бокале с высоким мячом над двумя кубиками льда. Заполните газированной водой, перемешайте и подайте.",1/2 унция ,1 1/2 унция 
Ipamena,17176,Non Alcoholic,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/yswuwp1469090992.jpg,Wine Glass,Lime,Brown sugar,Passion fruit juice,Ginger ale,Ice,"Разрежьте половину лайма на куски, поместите в шейкер, добавьте сахар и раздавите. Измерьте сок маракуйи, добавьте его в шейкер и наполните кубиками льда. Закройте шейкер и энергично встряхните. Вылейте жидкость в стакан, надпись имбирным элем, перемешайте с чайной ложкой, а затем украсьте край стакана ломтиком лайма",½,2 чайная ложка
Irish Coffee,13971,Алкогольный,Кофе/Чай,http://www.thecocktaildb.com/images/media/drink/sywsqw1439906999.jpg,Кружка для айриш кофе,Irish whiskey,Coffee,Sugar,Whipped cream,0,"Нагрейте кофе, виски и сахар; Не кипятите. Вылейте в стекло и сверху кремом; подавать горячую.",1 1/2 унция ,8 унция 
Irish Cream,12820,Алкогольный,Домашний ликер,http://www.thecocktaildb.com/images/media/drink/90etyl1504884699.jpg,Кружка для айриш кофе,Scotch,Half-and-half,Condensed milk,Coconut syrup,Chocolate syrup,Смешайте скотч и молоко. Добавить половину. Добавить отдых.,1 чашка ,1 1/4 чашка 
Irish Curdling Cow,16987,Алкогольный,Коктейль,http://www.thecocktaildb.com/images/media/drink/yrhutv1503563730.jpg,Хайбол,Bailey's irish cream,Bourbon,Vodka,Orange juice,0,"Вылейте ирландский крем, водку и бурбон в стакан. Добавьте немного льда и перемешайте в апельсиновом соке.",3/4 унция ,3/4 унция 
Irish Russian,17015,Алкогольный,Пиво,http://www.thecocktaildb.com/images/media/drink/swqurw1454512730.jpg,Хайбол,Vodka,Kahlua,Coca-Cola,Guinness stout,0,"Добавьте ингредиенты в заказ, указанный в рецепте. При добавлении Гиннеса для предотвращения избытка пены следует заботиться. Не добавляйте лед.",1 шот ,1 шот 
Irish Spring,11528,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/sot8v41504884783.jpg,Коллинз,Irish whiskey,Peach brandy,Orange juice,Sweet and sour,Orange,"Вылейте все ингредиенты (кроме апельсинового ломтика и вишни) в стакан Коллинза над кубиками льда. Украсить кусочек апельсина, добавить вишню сверху и подавать.",1 унция ,1/2 унция 
Jack Rose Cocktail,11542,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/uuqqrv1439907068.jpg,Коктейльный бокал,Apple brandy,Grenadine,Lime,0,0,"Встряхните все ингредиенты со льдом, напрягайтесь в коктейльный стакан и подайте.",1 1/2 унция ,1 чайная ложка 
Jack's Vanilla Coke,16275,Алкогольный,Другое,http://www.thecocktaildb.com/images/media/drink/kjnt7z1504793319.jpg,Олд-фэшн,Ice,Tennessee whiskey,Vanilla extract,Coca-Cola,0,"После наливания ингредиентов и добавления 3-5 кубиков льда, в соответствии с вкусом. Размешайте напиток с мешалкой, чтобы снять ваниль с дна.",4-5 ,2 унция 
Jackhammer,13847,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/9von5j1504388896.jpg,Collins Glass,Jack Daniels,Amaretto,0,0,0,"Подавать над льдом, предупреждая, смертельно!",1 унция ,1 унция 
Jam Donut,17178,Алкогольный,Шот,http://www.thecocktaildb.com/images/media/drink/uuytrp1474039804.jpg,Шот,Baileys irish cream,Chambord raspberry liqueur,Sugar syrup,Sugar,0,"Покройте обод из стекла выстрела сахаром, используя сахарный сироп, чтобы придерживаться. Добавьте ликер малины Chambord в выстрел, и осторожно уложите ирландский крем Baileys. Служить.",2/3 унция,1/3 унция
Jamaica Kiss,14095,Алкогольный,Молочный/Шейк,http://www.thecocktaildb.com/images/media/drink/urpvvv1441249549.jpg,Бокал ураган,Coffee liqueur,Light rum,Ice,Milk,0,Заполните тумблер кубиками льда. Добавьте снимок Тиа Марии и выстрел ямайского легкого рома. Наполните тумблер молоком. Смешайте до однородного сглаживания и сразу подайте.,1 шот ,1 шот Jamaican 
Jamaican Coffee,15825,Алкогольный,Кофе/Чай,http://www.thecocktaildb.com/images/media/drink/xqptps1441247257.jpg,Флюте,Rum,Coffee,Water,Whipped cream,0,"Перемешайте ром, кофе и воду вместе. Вершина со взбитыми сливками. Посыпаться щепоткой хорошо молотого кофе и выпить соломой.",1/6 бокал ,1/6 бокал strong black 
Japanese Fizz,11558,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/37vzv11504884831.jpg,Хайбол,Blended whiskey,Lemon,Powdered sugar,Port,Egg white,"Встряхните все ингредиенты (кроме газированной воды) со льдом и напрягайтесь в бокале с высоким мячом над двумя кубиками льда. Заполните газированной водой, перемешайте и подайте.",1 1/2 унция ,Juice of 1/2 
Jello shots,14956,Алкогольный,Шот,http://www.thecocktaildb.com/images/media/drink/l0smzo1504884904.jpg,Шот,Vodka,Jello,Water,0,0,"Варить 3 чашки воды, затем добавьте желе. Смешайте желе и воду, пока желе не будет полностью растворен. Добавьте две чашки водки и перемешайте. Вылейте смесь в пластиковые очки и охладите до твердой. Затем есть ...",2 cups ,3 packages 
Jelly Bean,13775,Алкогольный,Шот,http://www.thecocktaildb.com/images/media/drink/bglc6y1504388797.jpg,Cordial glass,Blackberry brandy,Anis,0,0,0,"Смешайте равные части в пони из стекла, как желе!",1 унция ,1 унция 
Jewel Of The Nile,11566,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/hx4nrb1504884947.jpg,Коктейльный бокал,Gin,Green Chartreuse,Yellow Chartreuse,0,0,"В смешанном стекле, наполовину заполненном кубиками льда, объедините все ингредиенты. Хорошо перемешать. Процедить в коктейльный стакан.",1 1/2 унция ,1/2 унция 
Jitterbug,16178,Алкогольный,Коктейль,http://www.thecocktaildb.com/images/media/drink/wwqvrq1441245318.jpg,Cocktail Glass,Gin,Vodka,Grenadine,Lime juice,Sugar,"Мокрый стакан, погрузить обод в сахаре. Затем добавьте лед. Затем добавьте все остальное. Это так просто!",2 jiggers ,1 джиггер 
John Collins,11580,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/u5yaxl1504350270.jpg,Коллинз,Bourbon,Lemon juice,Sugar,Club soda,Maraschino cherry,"Вылейте все ингредиенты прямо в бокал с высоким мячом, наполненный льдом. Нежно перемешать. Гарнир. Добавьте черту биттеров ангостуры.",2 унция ,1 унция 
Just a Moonmint,12688,Безалкогольный,Молочный/Шейк,http://www.thecocktaildb.com/images/media/drink/znald61487604035.jpg,Highball Glass,Milk,Chocolate syrup,Mint syrup,0,0,"Поместите все ингредиенты в банок блендера - накрыть и взведите на среднюю скорость, пока не смешано. Вылейте один высокий, 2 среднего или 3 маленьких стакана и выпейте.",2 cups ,"
"
Kamikaze,11600,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/xa58bb1504373204.jpg,Коктейльный бокал,Vodka,Triple sec,Lime juice,0,0,"Встряхните все ингредиенты вместе со льдом. Процедить в стекло, украсить и подавать.",1 унция ,1 унция 
Karsk,12764,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/808mxk1487602471.jpg,Хайбол,Coffee,Grain alcohol,0,0,0,"Поместите медную монету в кофейную чашку и наполните кофе, пока не увидите монету, затем добавьте алкоголь, пока не увидите монету. Норвежская специальность.",1 часть ,2 parts 
Kentucky B And B,11602,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/sqxsxp1478820236.jpg,Снифтер для бренди,Bourbon,Benedictine,0,0,0,Вылейте бурбон и бенедиктин в бренди.,2 унция ,1/2 унция 
Kentucky Colonel,11604,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/utqwpu1478820348.jpg,Коктейльный бокал,Bourbon,Benedictine,Lemon peel,0,0,"В шейкере, наполовину заполненном кубиками льда, объединяют курбон и бенедиктин. Встряхнуть и напрячься в коктейльный стакан. Украсить с лимонным поворотом.",3 унция ,1/2 унция 
Kill the cold Smoothie,12720,Безалкогольный,Другое,http://www.thecocktaildb.com/images/media/drink/7j1z2e1487603414.jpg,Хайбол,Ginger,Lemon,Water,0,0,Сок имбирь и лимон и добавьте его в горячую воду. Вы можете добавить Cardomom.,1 inch ,1/4 
Kioki Coffee,16951,Алкогольный,Кофе/Чай,http://www.thecocktaildb.com/images/media/drink/uppqty1441247374.jpg,Кофейная кружка,Kahlua,Brandy,Coffee,0,0,Помешивать. Добавьте взбитые сливки в верхнюю часть.,1 унция ,1/2 унция 
Kir,17203,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/apneom1504370294.jpg,Wine Glass,Creme de Cassis,Champagne,0,0,0,"Добавьте крем де Касси в нижнюю часть бокала, а затем наполните вином.",1 часть ,5 parts 
Kir Royale,13837,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/yt9i7n1504370388.jpg,Флюте,Creme de Cassis,Champagne,0,0,0,Залейте Creme de Cassis в стеклян,1 часть ,5 parts 
Kiss me Quick,15026,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/m7iaxu1504885119.jpg,Хайбол,Cranberry vodka,Apfelkorn,Schweppes Russchian,Apple juice,Ice,смешать в стекле,4 сантилитр ,2 сантилитр 
Kiwi Lemon,14752,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/tpupvr1478251697.jpg,Хайбол,Kiwi liqueur,Bitter lemon,Ice,0,0,Смешайте в высоком стекле. Мешание Украсить с кусочком киви.,1 часть ,2 parts 
Kiwi Papaya Smoothie,12714,Безалкогольный,Другое,http://www.thecocktaildb.com/images/media/drink/jogv4w1487603571.jpg,Highball Glass,Kiwi,Papaya,0,0,0,Бросьте все в блендер и перечислите.,3 ,1/2 
Kool First Aid,17006,Алкогольный,Шот,http://www.thecocktaildb.com/images/media/drink/hfp6sv1503564824.jpg,Шот,151 proof rum,Kool-Aid,0,0,0,"Добавьте Kool Aid в стеклянный бокал с двойным выстрелом, а также вершина ромом. Удар и стреляй.",2 унция light ,1/2 чайная ложка Tropical 
Kool-Aid Shot,13190,Алкогольный,Шот,http://www.thecocktaildb.com/images/media/drink/fegm621503564966.jpg,Олд-фэшн,Vodka,Amaretto,Sloe gin,Triple sec,Cranberry juice,Вылейте в большой стакан со льдом и перемешайте. Добавьте немного клюквенного сока по вкусу.,1 шот ,1 шот 
Kool-Aid Slammer,14446,Алкогольный,Шот,http://www.thecocktaildb.com/images/media/drink/kugu2m1504735473.jpg,Шот,Kool-Aid,Vodka,0,0,0,"Сначала заполните половину бокала выстрела Kool-Aid. Затем положите бумажное полотенце на верхнюю часть стакана и медленно вылейте водку. Если вы сделаете это правильно, вы сможете увидеть, что две жидкости разделены, с водкой сверху. Теперь хлопните! Последнее, что вы испытаете, это Kool-Aid.",1/2 унция Grape ,1/2 унция 
Kurant Tea,14456,Алкогольный,Кофе/Чай,http://www.thecocktaildb.com/images/media/drink/xrsrpr1441247464.jpg,Флюте,Absolut Kurant,Tea,Sugar,0,0,"Вылейте абсолют курант в удобно большую чайную чашку. Добавьте не слишком горячий (!) Яблочный чай и, если хотите, немного сахара. Наслаждаться!",4 сантилитр ,Turkish apple 
Lady Love Fizz,11634,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/20d63k1504885263.jpg,Коктейльный бокал,Gin,Light cream,Powdered sugar,Lemon,Egg white,"Встряхните все ингредиенты (кроме газированной воды) со льдом и напрягайтесь в коктейльный стакан на двух кубиках льда. Заполните газированной водой, перемешайте и подайте.",2 унция ,2 чайная ложка 
Lassi - A South Indian Drink,12690,Безалкогольный,Другое,http://www.thecocktaildb.com/images/media/drink/iq6scx1487603980.jpg,Highball Glass,Yoghurt,Water,Cumin seed,Salt,Mint,"Смешайте блендер на 3 секунды. Ласси - одна из самых простых вещей, которые можно сделать, и есть много способов сделать это. По сути, это пахта (йогурт взбил водой), и вы можете выбрать практически любую консистенцию, которая вам нравится, от самой тонкой до самой толстой. Подавать холод.",1/2 чашка plain ,1 1/4 чашка cold 
Lassi - Mango,12698,Безалкогольный,Другое,http://www.thecocktaildb.com/images/media/drink/1bw6sd1487603816.jpg,Хайбол,Mango,Yoghurt,Sugar,Water,0,"Положите все это в блендер и вылейте на раздавленный лед. Вы также можете использовать другие фрукты, такие как клубника и бананы.",2 ,2 cups 
Lassi - Sweet,12696,Безалкогольный,Другое,http://www.thecocktaildb.com/images/media/drink/9jeifz1487603885.jpg,Хайбол,Yoghurt,Water,Sugar,Salt,Lemon juice,Поместите все ингредиенты в блендер и смешайте до хорошего и пенистого. Подавать охлажденным.,1 чашка ,2 cups cold 
Lassi Khara,12692,Безалкогольный,Другое,http://www.thecocktaildb.com/images/media/drink/m1suzm1487603970.jpg,Highball Glass,Yoghurt,Water,Salt,Asafoetida,0,Смесь (фраппе) в блендере до пенистых. Добавить разорванные листья карри и подавать холод.,1 чашка ,2 cups cold 
Lassi Raita,12694,Безалкогольный,Другое,http://www.thecocktaildb.com/images/media/drink/s4x0qj1487603933.jpg,Highball Glass,Yoghurt,Ice,Sugar,Lime,Salt,"Смешайте йогурт и кубики льда вместе, пока йогурт не станет более жидким. Добавить сахар по вкусу. Лимон/лайм не обязательно, но он дает ему слегка терпкий вкус. Черт соли. Раита тоже хороша на лето. Вместо того, чтобы иметь традиционный салат, вы можете сделать Райту.",2 cups ,4-6 
Lemon Drop,14366,Алкогольный,Коктейль,http://www.thecocktaildb.com/images/media/drink/mtpxgk1504373297.jpg,Коктейльный бокал,Absolut Vodka,Cointreau,Lemon,0,0,"Встряхните и напрягайтесь в охлажденном коктейльном стекле, обжаренном сахаром.",1 1/2 шот ,1 1/2 шот 
Lemon Shot,12752,Алкогольный,Шот,http://www.thecocktaildb.com/images/media/drink/mx31hv1487602979.jpg,Шот,Galliano,Absolut Citron,Lemon,Sugar,151 proof rum,"Смешайте Galliano и Absolut Citron в выстрел, положите лимонный клин, посыпанный сахаром на стекло и залейте ромом на клин и стекло. Легкий ром с легкой и дайте сгореть на секунду. Быстро выстрелил и соси лимона. Если это сделано правильно, это будет на вкус как снимок сладкого лимонада.",1/2 унция ,1/2 унция 
Lemouroudji,12702,Безалкогольный,Другое,http://www.thecocktaildb.com/images/media/drink/eirmo71487603745.jpg,Highball Glass,Ginger,Water,Lemon,Sugar,Cayenne pepper,Сок лимонов. Очистить и натереть имбирь. Поместите тертый имбирь и либеральную черту кайенского перца в кусок чизлота и завяжите его в узле. Пусть впитаться в воде. Примерно через 15 минут добавьте сахар и лимонный сок. Расслабься и подавать.,2 pieces ,1 gal 
Limeade,12704,Безалкогольный,Другое,http://www.thecocktaildb.com/images/media/drink/5jdp5r1487603680.jpg,Хайбол,Lime,Sugar,Soda water,Lime peel,0,"В большом стакане положите сок лайма и сахар и хорошо перемешайте. Добавьте холодную воду Seltzer, чтобы заполнить. Положите кожуру в стекло. Напиток. Повторите, пока лайм или сода не закончится.",Juice of 1 ,1 столовая ложка 
Limona Corona,15086,Алкогольный,Пиво,http://www.thecocktaildb.com/images/media/drink/wwqrsw1441248662.jpg,Beer Glass,Corona,Bacardi Limon,0,0,0,"Откройте корону. Заполните пустое пространство в шею в бутылке ромом. Бутылка должна быть заполнена на вершину. Подключите бутылку большим пальцем или ладони. Поверните бутылку вверх дном, чтобы ром и пивная смесь. Поверните бутылку вправо, отключите и выпейте.",1 бутылка ,1 унция 
Loch Lomond,11658,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/rpvtpr1468923881.jpg,Коктейльный бокал,Scotch,Drambuie,Dry Vermouth,Lemon peel,0,"В смешанном стекле, наполовину заполненном кубиками льда, комбинируйте скотч, драмбуй и вермут. Хорошо перемешать. Процедить в коктейльный стакан. Украсить с лимонным поворотом.",2 унция ,1/2 унция 
London Town,11662,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/rpsrqv1468923507.jpg,Коктейльный бокал,Gin,Maraschino liqueur,Orange bitters,0,0,"В смешанном стекле, наполовину заполненном кубиками льда, объедините все ингредиенты. Хорошо перемешать. Процедить в коктейльный стакан.",1 1/2 унция ,1/2 унция 
Lone Tree Cocktail,11664,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/tsxpty1468923417.jpg,Коктейльный бокал,Sweet Vermouth,Gin,0,0,0,"Размешайте ингредиенты со льдом, напрягайтесь в коктейль -стакане и подайте.",3/4 унция ,1 1/2 унция 
Lone Tree Cooler,11666,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/wsyqry1479298485.jpg,Коллинз,Carbonated water,Gin,Dry Vermouth,Powdered sugar,Orange spiral,"Размешайте сахарную пудру и 2 унции. газированная вода в стакане Коллинза. Заполните стекло льдом, добавьте джин и вермут и перемешайте. Заполните газированной водой и снова перемешайте. Добавьте поворот лимонной кожуры и апельсиновую спирали, чтобы конец болтался над ободом стекла.","
","
"
Long Island Iced Tea,17204,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/wx7hsg1504370510.jpg,Хайбол,Vodka,Tequila,Light rum,Gin,Coca-Cola,Смешайте все содержимое в бокале с высоким мячом и нежно. Добавьте примку кока-колы для окраски и украсьте с лимоном или извращенным изюминкой.,1/2 унция ,1/2 унция 
Long Island Tea,11668,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/ywxwqs1439906072.jpg,Хайбол,Vodka,Light rum,Gin,Tequila,Lemon,Смешайте все ингредиенты (кроме Cola) и вылейте лед в бокал с высоким током. Добавьте всплеск колы для цвета. Украсьте кусочком лимона и подайте.,1/2 унция ,1/2 унция 
Long vodka,13196,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/9179i01503565212.jpg,Хайбол,Vodka,Lime,Angostura bitters,Tonic water,Ice,"Встряхните высокий стакан с кубиками льда и ангостурой, покрывая внутреннюю часть стекла. Порте водку на это, добавьте 1 ломтик лайма и выжимайте сок оставшейся, смешайте с тоником, перемешай и вуаля, у вас длинная водка",5 сантилитр ,1/2 
Lord And Lady,11670,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/quwrys1468923219.jpg,Олд-фэшн,Dark rum,Tia maria,0,0,0,"Вылейте ром и Тиа Марию в старомодный стакан, почти наполненный кубиками льда. Хорошо перемешать.",1 1/2 унция ,1/2 унция 
Lunch Box,14378,Алкогольный,Пиво,http://www.thecocktaildb.com/images/media/drink/qywpvt1454512546.jpg,Пинта,Beer,Amaretto,Orange juice,0,0,"Наполните бокал пинты, почти полным пивом. Затем заполните остальное апельсиновым соком (осторожно не заполнить его наверх). Затем сделайте снимок амаретто и бросьте его.",3/4 бутылка ,1 шот 
Mai Tai,11690,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/twyrrp1439907470.jpg,Коллинз,Light rum,Orgeat syrup,Triple sec,Sweet and sour,Cherry,Встряхните все ингредиенты со льдом. Процедить в стекло. Украсить и подавать с соломой.,1 унция ,1/2 унция 
Malibu Twister,15224,Алкогольный,Коктейль,http://www.thecocktaildb.com/images/media/drink/2dwae41504885321.jpg,Хайбол,Malibu rum,Tropicana,Cranberry juice,0,0,"Тогда добавьте ром и тристер, добавьте клюкву Jucie, перемешайте",2 parts ,2 parts 
Mango Orange Smoothie,12716,Безалкогольный,Другое,http://www.thecocktaildb.com/images/media/drink/vdp2do1487603520.jpg,Highball Glass,Mango,Orange,0,0,0,Бросьте все в блендер и перечислите.,1 ,2 
Manhattan,13839,Алкогольный,Коктейль,http://www.thecocktaildb.com/images/media/drink/ec2jtz1504350429.jpg,Коктейльный бокал,Sweet Vermouth,Bourbon,Angostura bitters,Ice,Maraschino cherry,"Вмешивался по льду, напрягся в охлажденном стакане, украшенных и поданных.",3/4 унция ,2 1/2 унция Blended 
Margarita,13060,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/wpxpvu1439905379.jpg,Коктейльный бокал,Tequila,Triple sec,Lime juice,Salt,0,"Потрите обод стекла с помощью ломтика лайма, чтобы соль прилипал к нему. Позаботьтесь о том, чтобы увлажнить только внешний обод и посыпать на него соль. Соль должна присутствовать на губах Imbiber и никогда не смешивать в коктейль. Встряхните другие ингредиенты льдом, затем осторожно вылейте в стакан.",1 1/2 унция ,1/2 унция 
Martinez Cocktail,11720,Алкогольный,Коктейль,http://www.thecocktaildb.com/images/media/drink/wwxwvr1439906452.jpg,Коктейльный бокал,Gin,Dry Vermouth,Triple sec,Orange bitters,Cherry,Размешайте все ингредиенты (кроме вишни) со льдом и напрягайтесь в коктейльный стакан. Вершина с вишней и подавать.,1 унция ,1 унция 
Martini,11728,Алкогольный,Коктейль,http://www.thecocktaildb.com/images/media/drink/71t8581504353095.jpg,Коктейльный бокал,Gin,Dry Vermouth,Olive,0,0,Прямо: налейте все ингредиенты в смешанное стекло с кубиками льда. Хорошо перемешать. Процедить в охлажденном коктейльном бокале мартини. Сожмите масла от лимонной кожуры на напиток или украсьте оливкой.,1 2/3 унция ,1/3 унция 
Mary Pickford,17188,Алкогольный,Коктейль,http://www.thecocktaildb.com/images/media/drink/f9erqb1504350557.jpg,Коктейльный бокал,Light rum,Pineapple juice,Maraschino liqueur,Grenadine,Maraschino cherry,Встряхнуть и напрячься в охлажденный большой коктейльный стакан,1 1/2 унция ,1 унция 
Masala Chai,12774,Безалкогольный,Кофе/Чай,http://www.thecocktaildb.com/images/media/drink/uyrpww1441246384.jpg,Coffee Mug,Water,Tea,Ginger,Cardamom,Cloves,Принесите 2 стакана воды до кипения. Добавьте все ингредиенты и снова варите в течение 15 секунд. Дайте стоять на минуту. Теплое молоко в кастрюле. Фильтруйте чай в чашки. Добавить молоко и сахар. Вот и все.,2 cups ,3-4 чайная ложка 
Melya,12776,Безалкогольный,Кофе/Чай,http://www.thecocktaildb.com/images/media/drink/xwtptq1441247579.jpg,Кофейная кружка,Espresso,Honey,Cocoa powder,0,0,"Brew Espresso. В кофейную кружку поместите 1 чайную ложку несладкого порошкообразного какао, затем накройте чайную ложку меда и сбрызните его в чашку. Перемешайте во время кофейного пива, это забавная часть. Какао, кажется, покрывает мед без смешивания, поэтому вы получаете пыльную, липкую массу, которая выглядит так, как будто он никогда не будет смешивать. Тогда все сразу, Престо! Это похоже на темный шоколадный соус. Вылейте горячий эспрессо на мед, помешивая, чтобы раствориться. Подавать со сливками.","
",Unsweetened 
Miami Vice,13936,Алкогольный,Коктейль,http://www.thecocktaildb.com/images/media/drink/qvuyqw1441208955.jpg,Коктейльный бокал,151 proof rum,Pina colada mix,Daiquiri mix,0,0,"Сначала: смешайте Pina Colada с 2,5 унцией. рома со льдом (отложить в сторону). Второе: смешайте Daiquiri с 2,5 унцией. рома со льдом. Третье: в то время как замороженная, добавьте смесь Pina Colda, затем Daiquiri Mix в стекло (убедитесь, что они не смешиваются вместе).",5 унция Bacardi ,frozen 
